Gender,shoulderlength,waistcircumference,Age,Heightin,Weightlbs
1,154,821,27,64,135
0,140,1031,38,69,218
1,139,740,24,63,135
0,140,929,24,66,168
1,152,1024,42,66,171
0,147,994,19,72,201
1,131,932,43,61,163
0,153,815,31,69,174
1,127,827,31,65,137
0,150,983,36,69,185
1,134,896,37,60,147
0,149,1004,24,72,220
1,153,738,27,63,115
0,133,825,33,67,162
1,133,832,24,64,140
0,169,1077,31,74,210
1,144,851,24,65,153
0,156,952,27,72,210
1,145,859,36,68,158
0,170,1047,40,71,230
1,146,906,22,66,145
0,150,851,33,69,178
1,142,1028,24,65,180
0,159,920,31,71,205
1,134,786,26,64,138
0,146,934,23,70,200
1,133,853,32,62,133
0,171,1114,29,75,230
1,140,745,45,63,125
0,136,967,24,66,196
1,134,737,29,66,111
0,153,1007,26,71,191
1,144,802,21,63,136
0,155,1109,32,75,259
1,173,1045,21,67,180
0,139,827,22,68,175
1,143,763,40,64,120
0,156,947,21,71,195
1,140,955,34,62,141
0,158,881,26,74,193
1,136,719,21,62,119
0,175,833,21,76,178
1,145,746,24,65,126
0,165,963,26,72,210
1,138,874,30,63,140
0,157,1100,36,72,236
1,129,772,21,64,140
0,164,852,34,72,170
1,134,802,21,62,132
0,160,941,23,69,205
1,147,719,41,62,125
0,160,1026,33,76,240
1,147,862,27,64,130
0,154,978,30,72,196
1,133,1044,39,66,179
0,144,1150,33,70,238
1,148,817,32,67,140
0,168,935,22,70,214
1,150,817,24,69,140
0,140,923,42,66,150
1,130,816,24,64,120
0,159,973,38,71,194
1,139,939,35,67,175
0,171,908,32,74,217
1,132,863,24,62,148
0,136,1111,30,69,215
1,144,915,35,64,147
0,158,1031,38,73,215
1,143,764,23,65,125
0,159,1164,25,71,248
1,135,899,41,65,162
0,144,1006,39,68,195
1,130,782,39,66,116
0,142,1018,27,68,210
1,149,897,39,66,169
0,139,992,32,72,210
1,133,817,46,62,130
0,148,908,19,65,159
1,158,900,42,64,159
0,164,1053,40,72,228
1,143,830,50,64,140
0,141,912,26,68,169
1,164,947,44,66,172
0,178,1049,33,77,240
1,152,958,45,64,161
0,159,917,30,69,180
1,145,767,47,62,126
0,152,1066,41,71,210
1,143,777,42,65,145
0,150,848,32,68,160
1,153,896,45,65,157
0,143,759,31,69,165
1,138,968,39,64,149
0,154,959,36,73,185
1,158,997,44,69,210
0,142,970,25,67,190
1,139,879,44,65,157
0,156,1068,43,72,215
1,133,1000,25,60,155
0,163,972,37,71,185
1,145,931,37,63,144
0,143,993,31,69,180
1,136,748,46,60,115
0,153,898,38,68,165
1,149,734,48,63,122
0,156,964,32,66,200
1,152,1021,38,70,180
0,149,881,20,69,165
1,148,874,44,68,159
0,160,821,23,75,160
1,154,803,45,65,145
0,151,801,19,68,160
1,131,935,48,60,140
0,153,845,28,70,167
1,159,810,41,66,145
0,169,1134,26,77,250
1,135,882,52,65,145
0,163,877,27,74,185
1,135,920,45,67,169
0,168,951,30,75,200
1,150,1085,44,64,157
0,140,867,25,68,148
1,132,923,33,62,135
0,154,1029,38,65,188
1,145,840,48,64,128
0,143,879,25,74,185
1,140,783,19,64,120
0,154,1015,30,71,220
1,140,924,27,64,151
0,153,1034,24,70,228
1,146,972,39,64,150
0,149,844,26,68,161
1,154,774,27,61,127
0,157,797,29,71,156
1,144,708,49,65,121
0,149,892,31,68,152
1,143,879,30,67,158
0,158,865,24,73,175
1,145,830,23,67,141
0,165,1031,43,68,200
1,144,980,23,67,185
0,152,912,33,71,187
1,147,883,23,66,145
0,163,1086,24,77,220
1,141,754,27,64,124
0,150,914,39,69,170
1,133,767,41,64,125
0,165,923,21,70,183
1,140,868,22,64,138
0,166,918,23,69,187
1,149,938,26,59,137
0,137,831,24,68,156
1,129,682,21,62,105
0,162,1182,50,68,230
1,143,762,21,63,137
0,142,1054,33,72,208
1,138,802,32,67,141
0,147,1118,22,76,240
1,135,1060,27,64,180
0,153,963,21,70,196
1,144,922,23,68,156
0,159,877,27,68,185
1,139,783,24,62,120
0,165,912,21,69,184
1,149,707,28,60,105
0,164,973,23,69,190
1,157,795,35,64,145
0,139,818,37,68,153
1,144,862,23,66,160
0,144,783,32,68,150
1,131,929,37,64,130
0,158,1015,28,70,207
1,151,858,27,68,175
0,151,694,23,62,110
1,157,784,20,68,167
0,140,1121,42,75,255
1,160,632,33,66,103
0,153,870,22,70,165
1,123,809,35,63,119
0,163,1015,35,72,242
1,147,912,37,69,168
0,144,738,31,66,121
1,134,941,43,62,147
0,143,1032,34,64,186
1,142,854,31,64,149
0,164,979,25,69,195
1,158,885,28,62,150
0,164,1017,37,73,235
1,135,783,27,66,128
0,152,883,32,69,175
1,133,927,48,65,165
0,167,1068,27,72,240
1,145,785,28,65,148
0,150,1179,31,69,254
1,138,858,21,72,171
0,152,993,23,67,195
1,149,958,22,66,174
0,153,880,26,70,170
1,148,707,22,66,133
0,147,977,34,71,184
1,143,1004,21,61,164
0,147,925,39,70,180
1,117,905,37,66,160
0,148,1010,23,65,185
1,132,989,44,64,143
0,155,1004,25,69,210
1,148,906,26,68,148
0,133,744,25,66,145
1,141,854,30,65,160
0,150,1045,35,72,252
1,140,738,34,67,124
0,155,936,23,69,198
1,135,784,21,62,130
0,141,755,23,64,155
1,137,871,28,64,145
0,153,997,26,87,215
1,125,811,31,60,124
0,149,913,31,72,187
1,143,728,27,66,120
0,147,921,35,69,171
1,125,763,51,61,105
0,153,899,27,74,180
1,146,793,22,65,120
0,143,734,33,71,145
1,158,1001,26,67,163
0,155,1124,28,71,235
1,139,922,24,59,140
0,152,976,22,66,195
1,152,829,41,61,135
0,133,1084,23,70,212
1,139,850,22,62,137
0,158,1026,45,72,195
1,130,731,23,63,125
0,173,1078,39,74,239
1,135,996,21,62,170
